adc,\sigma_{sca} (m^{2})
148,7.61711296330065e-12
149,7.6660228833927e-12
150,7.71493280348474e-12
151,7.76384272357677e-12
152,7.81275264366882e-12
153,7.86166256376085e-12
154,7.9105724838529e-12
155,7.95948240394494e-12
156,8.00839232403697e-12
157,8.05730224412902e-12
158,8.10621216422106e-12
159,8.1551220843131e-12
160,8.20403200440514e-12
161,8.25294192449718e-12
162,8.30185184458922e-12
163,8.35076176468126e-12
164,8.3996716847733e-12
165,8.44858160486534e-12
166,8.49749152495738e-12
167,8.54640144504942e-12
168,8.59531136514146e-12
169,8.6442212852335e-12
170,8.69313120532554e-12
171,8.74204112541758e-12
172,8.79095104550962e-12
173,8.83986096560166e-12
174,8.8887708856937e-12
175,8.93768080578574e-12
176,8.98659072587778e-12
177,9.03550064596982e-12
178,9.08441056606186e-12
179,9.1333204861539e-12
180,9.18223040624594e-12
181,9.23114032633798e-12
182,9.28005024643002e-12
183,9.32896016652206e-12
184,9.3778700866141e-12
185,9.42678000670614e-12
186,9.47568992679818e-12
187,9.52459984689022e-12
188,9.57350976698226e-12
189,9.6224196870743e-12
190,9.67132960716634e-12
191,9.72023952725838e-12
192,9.76914944735042e-12
193,9.81805936744246e-12
194,9.8669692875345e-12
195,9.91587920762654e-12
196,9.96478912771858e-12
197,1.00136990478106e-11
198,1.00626089679027e-11
199,1.01115188879947e-11
200,1.01604288080867e-11
201,1.02093387281788e-11
202,1.02582486482708e-11
203,1.03071585683629e-11
204,1.03560684884549e-11
205,1.04049784085469e-11
206,1.0453888328639e-11
207,1.0502798248731e-11
208,1.05517081688231e-11
209,1.06006180889151e-11
210,1.06495280090071e-11
211,1.06984379290992e-11
212,1.07473478491912e-11
213,1.07962577692833e-11
214,1.08451676893753e-11
215,1.08940776094673e-11
216,1.09429875295594e-11
217,1.09918974496514e-11
218,1.10408073697435e-11
219,1.10897172898355e-11
220,1.11386272099275e-11
221,1.11875371300196e-11
222,1.12364470501116e-11
223,1.12853569702037e-11
224,1.13342668902957e-11
225,1.13831768103877e-11
226,1.14320867304798e-11
227,1.14809966505718e-11
228,1.15299065706639e-11
229,1.15788164907559e-11
230,1.16277264108479e-11
231,1.167663633094e-11
232,1.1725546251032e-11
233,1.17744561711241e-11
234,1.18233660912161e-11
235,1.18722760113081e-11
236,1.19211859314002e-11
237,1.19700958514922e-11
238,1.20190057715843e-11
239,1.20679156916763e-11
240,1.21168256117683e-11
241,1.21657355318604e-11
242,1.22146454519524e-11
243,1.22635553720445e-11
244,1.23124652921365e-11
245,1.23613752122285e-11
246,1.24102851323206e-11
247,1.24591950524126e-11
248,1.25081049725047e-11
249,1.25570148925967e-11
250,1.26059248126887e-11
251,1.26548347327808e-11
252,1.27037446528728e-11
253,1.27526545729649e-11
254,1.28015644930569e-11
255,1.28504744131489e-11
256,1.2899384333241e-11
257,1.2948294253333e-11
258,1.29972041734251e-11
259,1.30461140935171e-11
260,1.30950240136091e-11
261,1.31439339337012e-11
262,1.31928438537932e-11
263,1.32417537738853e-11
264,1.32906636939773e-11
265,1.33395736140693e-11
266,1.33884835341614e-11
267,1.34373934542534e-11
268,1.34863033743455e-11
269,1.35352132944375e-11
270,1.35841232145295e-11
271,1.36330331346216e-11
272,1.36819430547136e-11
273,1.37308529748057e-11
274,1.37797628948977e-11
275,1.38286728149897e-11
276,1.38775827350818e-11
277,1.39264926551738e-11
278,1.39754025752659e-11
279,1.40243124953579e-11
280,1.40732224154499e-11
281,1.4122132335542e-11
282,1.4171042255634e-11
283,1.42199521757261e-11
284,1.42688620958181e-11
285,1.43177720159101e-11
286,1.43666819360022e-11
287,1.44155918560942e-11
288,1.44645017761863e-11
289,1.45134116962783e-11
290,1.45623216163703e-11
291,1.46112315364624e-11
292,1.46601414565544e-11
293,1.47090513766465e-11
294,1.47579612967385e-11
295,1.48068712168305e-11
296,1.48557811369226e-11
297,1.49046910570146e-11
298,1.49536009771067e-11
299,1.50025108971987e-11
300,1.50514208172907e-11
301,1.51003307373828e-11
302,1.51492406574748e-11
303,1.51981505775669e-11
304,1.52470604976589e-11
305,1.52959704177509e-11
306,1.5344880337843e-11
307,1.5393790257935e-11
308,1.54427001780271e-11
309,1.54916100981191e-11
310,1.55405200182111e-11
311,1.55894299383032e-11
312,1.56383398583952e-11
313,1.56872497784873e-11
314,1.57361596985793e-11
315,1.57850696186713e-11
316,1.58339795387634e-11
317,1.58828894588554e-11
318,1.59317993789475e-11
319,1.59807092990395e-11
320,1.60296192191315e-11
321,1.60785291392236e-11
322,1.61274390593156e-11
323,1.61763489794077e-11
324,1.62252588994997e-11
325,1.62741688195917e-11
326,1.63230787396838e-11
327,1.63719886597758e-11
328,1.64208985798679e-11
329,1.64698084999599e-11
330,1.65187184200519e-11
331,1.6567628340144e-11
332,1.6616538260236e-11
333,1.66654481803281e-11
334,1.67143581004201e-11
335,1.67632680205121e-11
336,1.68121779406042e-11
337,1.68610878606962e-11
338,1.69099977807883e-11
339,1.69589077008803e-11
340,1.70078176209723e-11
341,1.70567275410644e-11
342,1.71056374611564e-11
343,1.71545473812485e-11
344,1.72034573013405e-11
345,1.72523672214326e-11
346,1.73012771415246e-11
347,1.73501870616166e-11
348,1.73990969817087e-11
349,1.74480069018007e-11
350,1.74969168218928e-11
351,1.75458267419848e-11
352,1.75947366620768e-11
353,1.76436465821689e-11
354,1.76925565022609e-11
355,1.7741466422353e-11
356,1.7790376342445e-11
357,1.7839286262537e-11
358,1.78881961826291e-11
359,1.79371061027211e-11
