adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
104,8.49230290828783e-12,5.53252209985069,5.20639235856344,5.08959223270694,5.07076187069545,6.20327040112172
105,8.53450586334598e-12,5.54600564083213,5.22298742031428,5.14562477761272,5.07100331248547,6.21536721911803
106,8.57670881840414e-12,5.54769915329117,5.22523180212175,5.1276016690307,5.10096987507002,6.25074870618364
107,8.61891177346229e-12,5.57248697268352,5.24068901839117,5.12698938595271,5.1142569447269,6.27822145533622
108,8.66111472852045e-12,5.58401726616522,5.26907780132349,5.14172692240437,5.14745420559488,6.28571947960755
109,8.7033176835786e-12,5.6155539713144,5.28836137218806,5.16355479883881,5.13108318841897,6.31907349192379
110,8.74552063863676e-12,5.59366125983951,5.26243859775432,5.19411902292336,5.13306876382292,6.32913631865564
111,8.78772359369491e-12,5.61879930089418,5.26549475631292,5.20056132444079,5.15707038157347,6.35746247381265
112,8.82992654875307e-12,5.63159763104154,5.31967349557878,5.17228366758365,5.17574653700657,6.36429919892466
113,8.87212950381122e-12,5.64027177700659,5.33187915726609,5.2583249836923,5.15019179891258,6.37206334715669
114,8.91433245886938e-12,5.68362262281483,5.34569811784574,5.25731111097409,5.19770912575191,6.40514699481169
115,8.95653541392753e-12,5.66573769927825,5.36006176673188,5.21260293391017,5.20972416185162,6.43478515754735
116,8.99873836898569e-12,5.67626992024945,5.30563964060025,5.22519854738927,5.21676060684746,6.44166414304631
117,9.04094132404384e-12,5.68966490672924,5.38587140030805,5.29394502038739,5.23529803514559,6.44760630084375
118,9.083144279102e-12,5.6994464569567,5.40648707842415,5.28527011716771,5.26038785884241,6.47722746774517
119,9.12534723416015e-12,5.69885433877659,5.42977458061543,5.33407664889428,5.27891271766115,6.49322330096332
120,9.16755018921831e-12,5.72264253164968,5.39580863343779,5.30395084837098,5.30538779009746,6.52066796518993
121,9.20975314427646e-12,5.72760975312359,5.45487612410995,5.35091499042294,5.28580728510305,6.5263484891019
122,9.25195609933462e-12,5.75849364070225,5.44954669776043,5.35697159400529,5.29345471521556,6.53524712290905
123,9.29415905439277e-12,5.76573305879803,5.46328494662024,5.38229216839033,5.32871616047418,6.59383850559138
124,9.33636200945093e-12,5.76191836632198,5.44484540947159,5.35014702442301,5.34849118640177,6.60329949994459
125,9.37856496450908e-12,5.78959015884792,5.49758053178004,5.38877424866682,5.36832387518214,6.61036242011553
126,9.42076791956724e-12,5.79481425988016,5.51606037162532,5.41267463962907,5.37968496735369,6.65115761811405
127,9.46297087462539e-12,5.80864939398261,5.51093549169798,5.4228553468546,5.35870397606268,6.68295744085758
128,9.50517382968355e-12,5.79942658897687,5.48384426720342,5.43126458231215,5.36757467981303,6.68991471355462
129,9.5473767847417e-12,5.83913603221614,5.53204885909403,5.44269335043184,5.38067912339294,6.72863858458947
130,9.58957973979986e-12,5.83574185211576,5.54136079520341,5.46545041700059,5.42242353353071,6.7596191536115
131,9.63178269485801e-12,5.87410632375147,5.54437560516056,5.46979542758393,5.41838226565139,6.76509710483192
132,9.67398564991617e-12,5.86417292055641,5.561552375041,5.37273362520198,5.42984286185285,6.77210711263595
133,9.71618860497432e-12,5.89280008933063,5.60727575028024,5.40180040586614,5.45376954982413,6.79834683824115
134,9.75839156003248e-12,5.89757722726459,5.61114387105014,5.47098264429494,5.45597244131769,6.83532158034121
135,9.80059451509063e-12,5.94653995780419,5.61433191162209,5.48980157323221,5.46084604494075,6.84069029988739
136,9.84279747014879e-12,5.91245944888256,5.6171892895566,5.51181834934419,5.45124273063748,6.8461920268917
137,9.88500042520694e-12,5.94062090633631,5.61986805964619,5.5326963109487,5.47072644511074,6.85367366600686
138,9.9272033802651e-12,5.96361147641244,5.62241948536393,5.54757773986321,5.49572714591687,6.87637614053075
139,9.96940633532325e-12,5.97971585635718,5.62481762912213,5.46665606425859,5.47589281206236,6.91112172741732
140,1.00116092903814e-11,5.98429699278422,5.65080923294652,5.52149035086818,5.50993139392915,6.91751012319823
141,1.00538122454396e-11,6.00147841472868,5.67766883984996,5.50322833534453,5.53426800551854,6.92306875719926
142,1.00960152004977e-11,5.99904388508278,5.64407320031286,5.56786719308765,5.53693124300994,6.92986451302647
143,1.01382181555559e-11,6.01197281397321,5.68244686200274,5.57493462316978,5.52592369713855,6.95383370280843
144,1.0180421110614e-11,5.93792578001087,5.6504789786814,5.61187614478289,5.52562838917539,6.98495999252769
145,1.02226240656722e-11,6.05697155405626,5.70076823443581,5.62676709537288,5.56405985425511,6.99426567973067
146,1.02648270207303e-11,6.0665508015231,5.70009642645761,5.61881707324305,5.59504351408285,7.00013958240948
147,1.03070299757885e-11,6.11356887373226,5.75934412641069,5.61126418807894,5.60670412041215,7.00679406699692
148,1.03492329308466e-11,6.09074248038802,5.75712966114597,5.60101742087301,5.57993245247739,7.0346864604841
149,1.03914358859048e-11,6.14849501019132,5.738470174828,5.64715301918086,5.58321329029875,7.06925444322093
