adc,\sigma_{sca} (m^{2})
213,1.44062216960274e-11
214,1.44572258354593e-11
215,1.45082299748912e-11
216,1.45592341143232e-11
217,1.46102382537551e-11
218,1.46612423931871e-11
219,1.4712246532619e-11
220,1.47632506720509e-11
221,1.48142548114829e-11
222,1.48652589509148e-11
223,1.49162630903468e-11
224,1.49672672297787e-11
225,1.50182713692106e-11
226,1.50692755086426e-11
227,1.51202796480745e-11
228,1.51712837875064e-11
229,1.52222879269384e-11
230,1.52732920663703e-11
231,1.53242962058023e-11
232,1.53753003452342e-11
233,1.54263044846661e-11
234,1.54773086240981e-11
235,1.552831276353e-11
236,1.5579316902962e-11
237,1.56303210423939e-11
238,1.56813251818258e-11
239,1.57323293212578e-11
240,1.57833334606897e-11
241,1.58343376001217e-11
242,1.58853417395536e-11
243,1.59363458789855e-11
244,1.59873500184175e-11
245,1.60383541578494e-11
246,1.60893582972814e-11
247,1.61403624367133e-11
248,1.61913665761452e-11
249,1.62423707155772e-11
250,1.62933748550091e-11
251,1.6344378994441e-11
252,1.6395383133873e-11
253,1.64463872733049e-11
254,1.64973914127369e-11
255,1.65483955521688e-11
256,1.65993996916007e-11
257,1.66504038310327e-11
258,1.67014079704646e-11
259,1.67524121098966e-11
260,1.68034162493285e-11
261,1.68544203887604e-11
262,1.69054245281924e-11
263,1.69564286676243e-11
264,1.70074328070563e-11
265,1.70584369464882e-11
266,1.71094410859201e-11
267,1.71604452253521e-11
268,1.7211449364784e-11
269,1.7262453504216e-11
270,1.73134576436479e-11
271,1.73644617830798e-11
272,1.74154659225118e-11
273,1.74664700619437e-11
274,1.75174742013757e-11
275,1.75684783408076e-11
276,1.76194824802395e-11
277,1.76704866196715e-11
278,1.77214907591034e-11
279,1.77724948985353e-11
280,1.78234990379673e-11
281,1.78745031773992e-11
282,1.79255073168312e-11
283,1.79765114562631e-11
284,1.8027515595695e-11
285,1.8078519735127e-11
286,1.81295238745589e-11
287,1.81805280139909e-11
288,1.82315321534228e-11
289,1.82825362928547e-11
290,1.83335404322867e-11
291,1.83845445717186e-11
292,1.84355487111506e-11
293,1.84865528505825e-11
294,1.85375569900144e-11
295,1.85885611294464e-11
296,1.86395652688783e-11
297,1.86905694083103e-11
298,1.87415735477422e-11
299,1.87925776871741e-11
300,1.88435818266061e-11
301,1.8894585966038e-11
302,1.894559010547e-11
303,1.89965942449019e-11
304,1.90475983843338e-11
305,1.90986025237658e-11
306,1.91496066631977e-11
307,1.92006108026296e-11
308,1.92516149420616e-11
309,1.93026190814935e-11
310,1.93536232209255e-11
311,1.94046273603574e-11
312,1.94556314997893e-11
313,1.95066356392213e-11
314,1.95576397786532e-11
315,1.96086439180852e-11
316,1.96596480575171e-11
317,1.9710652196949e-11
318,1.9761656336381e-11
319,1.98126604758129e-11
320,1.98636646152449e-11
321,1.99146687546768e-11
322,1.99656728941087e-11
323,2.00166770335407e-11
324,2.00676811729726e-11
325,2.01186853124046e-11
326,2.01696894518365e-11
327,2.02206935912684e-11
328,2.02716977307004e-11
329,2.03227018701323e-11
330,2.03737060095643e-11
331,2.04247101489962e-11
332,2.04757142884281e-11
333,2.05267184278601e-11
334,2.0577722567292e-11
335,2.06287267067239e-11
336,2.06797308461559e-11
337,2.07307349855878e-11
338,2.07817391250198e-11
339,2.08327432644517e-11
340,2.08837474038836e-11
341,2.09347515433156e-11
342,2.09857556827475e-11
343,2.10367598221795e-11
344,2.10877639616114e-11
345,2.11387681010433e-11
346,2.11897722404753e-11
347,2.12407763799072e-11
348,2.12917805193392e-11
349,2.13427846587711e-11
350,2.1393788798203e-11
351,2.1444792937635e-11
352,2.14957970770669e-11
353,2.15468012164989e-11
354,2.15978053559308e-11
355,2.16488094953627e-11
356,2.16998136347947e-11
357,2.17508177742266e-11
358,2.18018219136585e-11
359,2.18528260530905e-11
360,2.19038301925224e-11
361,2.19548343319544e-11
362,2.20058384713863e-11
363,2.20568426108182e-11
364,2.21078467502502e-11
365,2.21588508896821e-11
366,2.22098550291141e-11
367,2.2260859168546e-11
368,2.23118633079779e-11
369,2.23628674474099e-11
370,2.24138715868418e-11
371,2.24648757262738e-11
372,2.25158798657057e-11
373,2.25668840051376e-11
374,2.26178881445696e-11
375,2.26688922840015e-11
376,2.27198964234335e-11
377,2.27709005628654e-11
378,2.28219047022973e-11
379,2.28729088417293e-11
380,2.29239129811612e-11
