adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
135,1.24309774109391e-12,2.08465672195807,1.79930946347275,1.86399643347335,1.8471501361241,2.00521206553462
136,1.29509679187711e-12,2.1136515306365,1.82917092175916,1.92566708433206,1.86040341765386,2.0531951373473
137,1.3470958426603e-12,2.13594651114812,1.86654621944278,1.91638122951893,1.90793968434269,2.07743227475228
138,1.39909489344349e-12,2.18315686433598,1.97410070853128,2.00728330855423,1.93297669868667,2.09396503000825
139,1.45109394422668e-12,2.20373119359625,1.96705977159836,2.05369351790957,1.9407576054965,2.13938532651155
140,1.50309299500987e-12,2.25516801544144,2.01477692982241,2.07557713403658,1.98071931804844,2.16059598842571
141,1.55509204579306e-12,2.27163280553631,2.10733867155036,2.08892848528501,2.01233552984668,2.17600178016671
142,1.60709109657625e-12,2.28872584789202,2.17447609430088,2.12497636286183,2.03983373127558,2.23481265090189
143,1.65909014735944e-12,2.31303612384952,2.24691942308627,2.14777182485935,2.10634812164133,2.248944465902
144,1.71108919814263e-12,2.34361910684474,2.28311704439379,2.16585735958136,2.14596621947544,2.31974517099779
145,1.76308824892582e-12,2.37040555845903,2.2941642846659,2.17624735692565,2.2444166886488,2.34280008512341
146,1.81508729970902e-12,2.37763981342185,2.33883797607516,2.23177994026565,2.24837491393076,2.42256796268247
147,1.86708635049221e-12,2.39089519487792,2.38234452928577,2.24533473668042,2.30603437219905,2.52797202877795
148,1.9190854012754e-12,2.43153278128676,2.4036087589858,2.25646948088344,2.32562061912452,2.56376718374816
149,1.97108445205859e-12,2.46163152423927,2.41294584400662,2.28842244545069,2.35517955981845,2.57750616194697
150,2.02308350284178e-12,2.46779281443457,2.40867214169941,2.36036730137952,2.38265228878991,2.63576023382238
151,2.07508255362497e-12,2.51534839416181,2.47956706929014,2.46104927494924,2.4095856671424,2.65146995006841
152,2.12708160440816e-12,2.54578487506382,2.48796938554427,2.4296314076353,2.44053944723121,2.6755455101773
153,2.17908065519135e-12,2.57441751378054,2.50671511080321,2.54029328227434,2.44281846758851,2.72581601197781
154,2.23107970597454e-12,2.61425654600443,2.54673558087794,2.51522588443862,2.48275210528967,2.75439082559336
155,2.28307875675773e-12,2.63333560460262,2.56649092519723,2.5704433832919,2.52740890544708,2.80358078454934
156,2.33507780754093e-12,2.68229532762822,2.59024408432158,2.62338656434147,2.50464106807407,2.81696643824302
157,2.38707685832412e-12,2.68936001268283,2.62816479706938,2.60651113886689,2.56871655067281,2.88281380502178
