adc,\sigma_{sca} (m^{2})
197,3.28249326231914e-12
198,3.29897243429605e-12
199,3.31545160627296e-12
200,3.33193077824987e-12
201,3.34840995022677e-12
202,3.36488912220368e-12
203,3.38136829418059e-12
204,3.3978474661575e-12
205,3.41432663813441e-12
206,3.43080581011132e-12
207,3.44728498208822e-12
208,3.46376415406513e-12
209,3.48024332604204e-12
210,3.49672249801895e-12
211,3.51320166999586e-12
212,3.52968084197277e-12
213,3.54616001394967e-12
214,3.56263918592658e-12
215,3.57911835790349e-12
216,3.5955975298804e-12
217,3.61207670185731e-12
218,3.62855587383421e-12
219,3.64503504581112e-12
220,3.66151421778803e-12
221,3.67799338976494e-12
222,3.69447256174185e-12
223,3.71095173371876e-12
224,3.72743090569566e-12
225,3.74391007767257e-12
226,3.76038924964948e-12
227,3.77686842162639e-12
228,3.7933475936033e-12
229,3.8098267655802e-12
230,3.82630593755711e-12
231,3.84278510953402e-12
232,3.85926428151093e-12
233,3.87574345348784e-12
234,3.89222262546475e-12
235,3.90870179744165e-12
236,3.92518096941856e-12
237,3.94166014139547e-12
238,3.95813931337238e-12
239,3.97461848534929e-12
240,3.99109765732619e-12
241,4.0075768293031e-12
242,4.02405600128001e-12
243,4.04053517325692e-12
244,4.05701434523383e-12
245,4.07349351721073e-12
246,4.08997268918764e-12
247,4.10645186116455e-12
248,4.12293103314146e-12
249,4.13941020511837e-12
250,4.15588937709528e-12
251,4.17236854907218e-12
252,4.18884772104909e-12
253,4.205326893026e-12
254,4.22180606500291e-12
255,4.23828523697982e-12
256,4.25476440895673e-12
257,4.27124358093363e-12
258,4.28772275291054e-12
259,4.30420192488745e-12
260,4.32068109686436e-12
261,4.33716026884127e-12
262,4.35363944081817e-12
263,4.37011861279508e-12
264,4.38659778477199e-12
265,4.4030769567489e-12
266,4.41955612872581e-12
267,4.43603530070272e-12
268,4.45251447267962e-12
269,4.46899364465653e-12
270,4.48547281663344e-12
271,4.50195198861035e-12
272,4.51843116058726e-12
273,4.53491033256416e-12
274,4.55138950454107e-12
275,4.56786867651798e-12
276,4.58434784849489e-12
277,4.6008270204718e-12
278,4.61730619244871e-12
279,4.63378536442561e-12
280,4.65026453640252e-12
281,4.66674370837943e-12
282,4.68322288035634e-12
283,4.69970205233325e-12
284,4.71618122431015e-12
285,4.73266039628706e-12
286,4.74913956826397e-12
287,4.76561874024088e-12
288,4.78209791221779e-12
289,4.7985770841947e-12
290,4.8150562561716e-12
291,4.83153542814851e-12
292,4.84801460012542e-12
293,4.86449377210233e-12
294,4.88097294407924e-12
295,4.89745211605615e-12
296,4.91393128803305e-12
297,4.93041046000996e-12
298,4.94688963198687e-12
299,4.96336880396378e-12
300,4.97984797594069e-12
301,4.99632714791759e-12
302,5.0128063198945e-12
303,5.02928549187141e-12
304,5.04576466384832e-12
305,5.06224383582523e-12
306,5.07872300780214e-12
307,5.09520217977904e-12
308,5.11168135175595e-12
309,5.12816052373286e-12
310,5.14463969570977e-12
311,5.16111886768668e-12
312,5.17759803966358e-12
313,5.19407721164049e-12
314,5.2105563836174e-12
315,5.22703555559431e-12
316,5.24351472757122e-12
317,5.25999389954813e-12
318,5.27647307152503e-12
319,5.29295224350194e-12
320,5.30943141547885e-12
321,5.32591058745576e-12
