adc,\sigma_{sca} (m^{2})
695,6.9177735602275e-12
696,6.93841063128111e-12
697,6.95904770233472e-12
698,6.97968477338832e-12
699,7.00032184444193e-12
700,7.02095891549554e-12
701,7.04159598654915e-12
702,7.06223305760276e-12
703,7.08287012865637e-12
704,7.10350719970998e-12
705,7.12414427076359e-12
706,7.14478134181719e-12
707,7.1654184128708e-12
708,7.18605548392441e-12
709,7.20669255497802e-12
710,7.22732962603163e-12
711,7.24796669708524e-12
712,7.26860376813885e-12
713,7.28924083919246e-12
714,7.30987791024607e-12
715,7.33051498129967e-12
716,7.35115205235328e-12
717,7.37178912340689e-12
718,7.3924261944605e-12
719,7.41306326551411e-12
720,7.43370033656772e-12
721,7.45433740762133e-12
722,7.47497447867494e-12
723,7.49561154972855e-12
724,7.51624862078215e-12
725,7.53688569183576e-12
726,7.55752276288937e-12
727,7.57815983394298e-12
728,7.59879690499659e-12
729,7.6194339760502e-12
730,7.64007104710381e-12
731,7.66070811815742e-12
732,7.68134518921102e-12
733,7.70198226026463e-12
734,7.72261933131824e-12
735,7.74325640237185e-12
736,7.76389347342546e-12
737,7.78453054447907e-12
738,7.80516761553268e-12
739,7.82580468658629e-12
740,7.8464417576399e-12
741,7.8670788286935e-12
742,7.88771589974711e-12
743,7.90835297080072e-12
744,7.92899004185433e-12
745,7.94962711290794e-12
746,7.97026418396155e-12
747,7.99090125501516e-12
748,8.01153832606877e-12
749,8.03217539712238e-12
750,8.05281246817598e-12
751,8.07344953922959e-12
752,8.0940866102832e-12
753,8.11472368133681e-12
754,8.13536075239042e-12
755,8.15599782344403e-12
756,8.17663489449764e-12
757,8.19727196555125e-12
758,8.21790903660486e-12
759,8.23854610765846e-12
760,8.25918317871207e-12
761,8.27982024976568e-12
762,8.30045732081929e-12
763,8.3210943918729e-12
764,8.34173146292651e-12
765,8.36236853398012e-12
766,8.38300560503372e-12
767,8.40364267608733e-12
768,8.42427974714094e-12
769,8.44491681819455e-12
770,8.46555388924816e-12
771,8.48619096030177e-12
772,8.50682803135538e-12
773,8.52746510240899e-12
774,8.5481021734626e-12
775,8.5687392445162e-12
776,8.58937631556981e-12
777,8.61001338662342e-12
778,8.63065045767703e-12
779,8.65128752873064e-12
780,8.67192459978425e-12
781,8.69256167083786e-12
782,8.71319874189147e-12
783,8.73383581294508e-12
784,8.75447288399868e-12
785,8.77510995505229e-12
786,8.7957470261059e-12
787,8.81638409715951e-12
788,8.83702116821312e-12
789,8.85765823926673e-12
790,8.87829531032034e-12
791,8.89893238137395e-12
792,8.91956945242756e-12
793,8.94020652348116e-12
794,8.96084359453477e-12
795,8.98148066558838e-12
796,9.00211773664199e-12
797,9.0227548076956e-12
798,9.04339187874921e-12
799,9.06402894980282e-12
800,9.08466602085642e-12
801,9.10530309191003e-12
802,9.12594016296364e-12
803,9.14657723401725e-12
804,9.16721430507086e-12
805,9.18785137612447e-12
806,9.20848844717808e-12
807,9.22912551823169e-12
808,9.2497625892853e-12
809,9.2703996603389e-12
810,9.29103673139251e-12
811,9.31167380244612e-12
812,9.33231087349973e-12
813,9.35294794455334e-12
814,9.37358501560695e-12
815,9.39422208666056e-12
816,9.41485915771417e-12
817,9.43549622876778e-12
818,9.45613329982139e-12
819,9.47677037087499e-12
820,9.4974074419286e-12
821,9.51804451298221e-12
822,9.53868158403582e-12
823,9.55931865508943e-12
824,9.57995572614304e-12
825,9.60059279719665e-12
826,9.62122986825026e-12
827,9.64186693930387e-12
828,9.66250401035747e-12
829,9.68314108141108e-12
830,9.70377815246469e-12
831,9.7244152235183e-12
832,9.74505229457191e-12
833,9.76568936562552e-12
834,9.78632643667913e-12
835,9.80696350773273e-12
836,9.82760057878634e-12
837,9.84823764983995e-12
838,9.86887472089356e-12
839,9.88951179194717e-12
840,9.91014886300078e-12
841,9.93078593405439e-12
842,9.951423005108e-12
843,9.97206007616161e-12
844,9.99269714721521e-12
845,1.00133342182688e-11
846,1.00339712893224e-11
847,1.0054608360376e-11
848,1.00752454314297e-11
849,1.00958825024833e-11
850,1.01165195735369e-11
851,1.01371566445905e-11
852,1.01577937156441e-11
853,1.01784307866977e-11
854,1.01990678577513e-11
855,1.02197049288049e-11
856,1.02403419998585e-11
857,1.02609790709121e-11
858,1.02816161419657e-11
859,1.03022532130193e-11
860,1.0322890284073e-11
861,1.03435273551266e-11
862,1.03641644261802e-11
863,1.03848014972338e-11
864,1.04054385682874e-11
865,1.0426075639341e-11
866,1.04467127103946e-11
867,1.04673497814482e-11
868,1.04879868525018e-11
869,1.05086239235554e-11
870,1.0529260994609e-11
871,1.05498980656627e-11
872,1.05705351367163e-11
873,1.05911722077699e-11
874,1.06118092788235e-11
875,1.06324463498771e-11
876,1.06530834209307e-11
877,1.06737204919843e-11
878,1.06943575630379e-11
879,1.07149946340915e-11
880,1.07356317051451e-11
881,1.07562687761987e-11
882,1.07769058472524e-11
883,1.0797542918306e-11
884,1.08181799893596e-11
885,1.08388170604132e-11
886,1.08594541314668e-11
887,1.08800912025204e-11
888,1.0900728273574e-11
889,1.09213653446276e-11
890,1.09420024156812e-11
891,1.09626394867348e-11
892,1.09832765577884e-11
893,1.1003913628842e-11
894,1.10245506998957e-11
895,1.10451877709493e-11
896,1.10658248420029e-11
897,1.10864619130565e-11
898,1.11070989841101e-11
899,1.11277360551637e-11
900,1.11483731262173e-11
901,1.11690101972709e-11
902,1.11896472683245e-11
903,1.12102843393781e-11
904,1.12309214104317e-11
905,1.12515584814854e-11
906,1.1272195552539e-11
907,1.12928326235926e-11
908,1.13134696946462e-11
909,1.13341067656998e-11
910,1.13547438367534e-11
911,1.1375380907807e-11
912,1.13960179788606e-11
913,1.14166550499142e-11
914,1.14372921209678e-11
915,1.14579291920214e-11
916,1.14785662630751e-11
917,1.14992033341287e-11
918,1.15198404051823e-11
919,1.15404774762359e-11
920,1.15611145472895e-11
921,1.15817516183431e-11
922,1.16023886893967e-11
923,1.16230257604503e-11
924,1.16436628315039e-11
925,1.16642999025575e-11
926,1.16849369736111e-11
927,1.17055740446647e-11
928,1.17262111157184e-11
929,1.1746848186772e-11
