P11,\sigma_{sca} radii (um),\sigma_{sca} (m^{2}),radii (um)
34.1286234790436,0.865207766346192,2.35174749964737e-12,2.02
35.2523018398746,0.879335816891552,2.42917833353712e-12,2.03
35.9149121641769,0.887561442668171,2.47483772482126e-12,2.04
35.3932595028868,0.881092091781069,2.43889149503479e-12,2.05
34.7424955734647,0.872954340099561,2.39404841940302e-12,2.06
34.4346578380682,0.869078305794107,2.37283582567037e-12,2.07
35.1117608252878,0.877581234070452,2.41949388259948e-12,2.08
36.9859206276139,0.900698085771907,2.54863916241911e-12,2.09
36.7087357740724,0.897316672217852,2.52953880852829e-12,2.1
37.0682045626452,0.901699437189366,2.55430921350071e-12,2.11
38.6194533600689,0.92037345450388,2.66120322529443e-12,2.12
38.9973622926805,0.924865628391694,2.68724431036513e-12,2.13
38.4222644613004,0.918020758235706,2.64761526151611e-12,2.14
37.9915853660264,0.912861164562501,2.6179378710382e-12,2.15
38.0196912450523,0.913198765926028,2.61987460109018e-12,2.16
39.4670478170533,0.930418514792913,2.71960956993215e-12,2.17
40.8111134578943,0.946128761860161,2.81222693002435e-12,2.18
40.3726684197614,0.941032777002499,2.78201440115412e-12,2.19
41.3458992736713,0.952307586724016,2.84907814395839e-12,2.2
43.1741240719041,0.973134323160351,2.97505811794349e-12,2.21
43.1299978142139,0.972636898436796,2.97201744985866e-12,2.22
42.6039430233256,0.966687094484418,2.93576787653764e-12,2.23
42.3901494811022,0.964258547103075,2.92103571399751e-12,2.24
42.7548715569666,0.968397871315551,2.9461681143859e-12,2.25
45.0002758712144,0.993501692245443,3.10089524497094e-12,2.26
45.3210035244845,0.997035867453482,3.12299606181487e-12,2.27
45.3314816471006,0.997151117111415,3.12371809206841e-12,2.28
46.9516156742702,1.01481363527996,3.23535887212593e-12,2.29
48.6168766337227,1.0326533310191,3.35010927511413e-12,2.3
48.2902263249915,1.0291783542163,3.3276003377909e-12,2.31
47.9464287871333,1.02550824303992,3.30390981301661e-12,2.32
47.9496047167612,1.02554220686332,3.30412866112122e-12,2.33
48.7601142205661,1.03417344083543,3.3599795424257e-12,2.34
50.9247364109266,1.05687936340235,3.50914010927328e-12,2.35
50.5684852111122,1.0531761007893,3.48459142306786e-12,2.36
51.1177726215237,1.05888058157886,3.52244191811687e-12,2.37
53.3093310735241,1.08134092440234,3.67345861859961e-12,2.38
54.2243038086981,1.09058122172148,3.73650788993961e-12,2.39
53.8308960776363,1.08661783181034,3.70939880807364e-12,2.4
53.6781011616222,1.08507459478826,3.69886996087546e-12,2.41
53.8620006243645,1.0869317210134,3.7115421714015e-12,2.42
55.2790504323342,1.10113688419016,3.8091887508135e-12,2.43
56.0400018686814,1.10868990624689,3.86162466692601e-12,2.44
55.9924391501157,1.10821931829341,3.85834719795537e-12,2.45
56.8962474390856,1.11712773687152,3.92062714560842e-12,2.46
59.1062779035703,1.13861743280038,4.07291672219178e-12,2.47
59.1267687884161,1.13881478287691,4.07432871547745e-12,2.48
58.8642832061528,1.13628416127543,4.05624126427508e-12,2.49
58.8988075280655,1.13661733181307,4.05862027870515e-12,2.5
59.3697275444641,1.14115214528009,4.09107060509407e-12,2.51
61.031124964893,1.15700892939778,4.20555477794134e-12,2.52
60.675096898752,1.15362925910173,4.18102146751159e-12,2.53
61.1625598991145,1.15825411049577,4.21461174380788e-12,2.54
62.4793368127074,1.17065582008046,4.30534868243761e-12,2.55
63.7994686637762,1.1829586221029,4.39631680430935e-12,2.56
63.4022635594034,1.17927041871287,4.36894605167323e-12,2.57
63.2670175504587,1.17801197182131,4.3596264708947e-12,2.58
63.4439452723595,1.17965799111421,4.37181827018758e-12,2.59
64.4621578531584,1.18908648427854,4.44198163005686e-12,2.6
64.6642363627288,1.19094882344284,4.45590652890039e-12,2.61
64.883608882326,1.19296725165296,4.47102312962619e-12,2.62
65.8047206832222,1.20140531273695,4.53449543392184e-12,2.63
67.532516690237,1.21707541681188,4.65355502452891e-12,2.64
67.4026977618262,1.21590505149394,4.64460941497379e-12,2.65
67.0988845411979,1.21316165061125,4.62367414395675e-12,2.66
67.0998985852322,1.2131708176391,4.62374402006891e-12,2.67
67.5470068519164,1.21720598112764,4.65455351781769e-12,2.68
69.3043852284865,1.23293840527722,4.77565158101882e-12,2.69
67.9250472663814,1.22060739767903,4.68060366308738e-12,2.7
68.7910943797976,1.22836414823527,4.74028155003186e-12,2.71
70.2135966146614,1.24099957572057,4.83830384724341e-12,2.72
71.4134989468737,1.25155857219922,4.92098715005326e-12,2.73
70.5546065992189,1.24400953870812,4.86180228628916e-12,2.74
70.3703167498151,1.24238378920629,4.8491031748582e-12,2.75
70.4801311983708,1.24335279511901,4.85667030849823e-12,2.76
71.5535707316301,1.25278538622314,4.93063926713247e-12,2.77
71.2786209238472,1.25037610998842,4.91169292658115e-12,2.78
71.4172976642804,1.251591859002,4.92124891344283e-12,2.79
72.7962217701956,1.26361694981084,5.01626831322262e-12,2.8
75.2136901525386,1.28442713339629,5.18285209668939e-12,2.81
74.6314799743755,1.2794462627443,5.14273294768225e-12,2.82
74.0970871543359,1.27485734636833,5.10590881444027e-12,2.83
73.9541005032659,1.27362669334594,5.0960558387015e-12,2.84
74.1858398026281,1.27562062269111,5.11202461394905e-12,2.85
76.8871256385345,1.29863718971907,5.29816579290186e-12,2.86
74.1703409893757,1.2754873651949,5.11095661613378e-12,2.87
75.3346660144289,1.28545967313796,5.1911883450263e-12,2.88
77.311745407007,1.30221820396782,5.32742564510244e-12,2.89
80.2411087082163,1.3266595372653,5.52928326832032e-12,2.9
78.5602349473428,1.3126907044687,5.413457012779e-12,2.91
78.3832295476192,1.31121104767744,5.4012598608347e-12,2.92
78.2846512336175,1.31038626895523,5.39446699080829e-12,2.93
78.9060857004066,1.31557700249801,5.43728902124745e-12,2.94
78.714261753464,1.31397691847733,5.42407074750512e-12,2.95
78.3280123217933,1.31074912366467,5.39745493231616e-12,2.96
79.862776656809,1.32352828160733,5.50321302682699e-12,2.97
82.8012379915501,1.34765720696581,5.70569758062188e-12,2.98
83.3624826932532,1.35221684948302,5.74437203301317e-12,2.99
82.9136359028078,1.34857158028575,5.71344273644184e-12,3
82.8454604378505,1.34801703699185,5.70874487690616e-12,3.01
82.8076664622526,1.34770952023393,5.70614055600031e-12,3.02
85.4207021763147,1.36880817921726,5.88620056371812e-12,3.03
81.9055564904488,1.34034841706542,5.64397763659927e-12,3.04
82.6848942682778,1.34671007998761,5.69768052536405e-12,3.05
84.547563871306,1.36179448904304,5.82603403438502e-12,3.06
89.3978389156665,1.40031110607041,6.16025853702811e-12,3.07
87.1065859860812,1.38224974776177,6.00237205351609e-12,3.08
87.220023386824,1.38314949489859,6.01018883885252e-12,3.09
87.0684334085839,1.38194700276316,5.99974302194119e-12,3.1
87.2175056367624,1.38312953130696,6.01001534482291e-12,3.11
86.6721110850724,1.37879820872842,5.97243310028716e-12,3.12
85.6169696076165,1.37037980247544,5.8997250306838e-12,3.13
86.5864644217983,1.37811679776516,5.96653132911459e-12,3.14
89.1265399542597,1.39818470336354,6.14156377031602e-12,3.15
90.9940202375531,1.41275694089629,6.27024877542831e-12,3.16
90.7732265332448,1.41104189804084,6.2550342431937e-12,3.17
90.9499728350088,1.41241496344529,6.26721354112232e-12,3.18
90.7602813481198,1.41094127999205,6.25414221170673e-12,3.19
92.9236315439555,1.42765775956417,6.40321512749667e-12,3.2
88.7328326369156,1.39509311688048,6.11443404445042e-12,3.21
88.8186351647428,1.3957674647461,6.12034655599384e-12,3.22
